Rank;Country;CPI_score;Number_surveys;Conf_Range_low;Conf_Range_high;Conf_Range_Difference
1;Finland;9.6;7;9.4 ; 9.7;0.3
1;Iceland;9.6;6;9.5 ; 9.7;0.2
1;New Zealand;9.6;7;9.4 ; 9.6;0.2
4;Denmark;9.5;7;9.4 ; 9.6;0.2
5;Singapore;9.4;9;9.2 ; 9.5;0.3
6;Sweden;9.2;7;9.0 ; 9.3;0.3
7;Switzerland;9.1;7;8.9 ; 9.2;0.3
8;Norway;8.8;7;8.4 ; 9.1;0.7
9;Australia;8.7;8;8.3 ; 9.0;0.7
9;Netherlands;8.7;7;8.3 ; 9.0;0.7
11;Austria;8.6;7;8.2 ; 8.9;0.7
11;Luxembourg;8.6;6;8.1 ; 9.0;0.9
11;United Kingdom;8.6;7;8.2 ; 8.9;0.7
14;Canada;8.5;7;8.0 ; 8.9;0.9
15;Hong Kong;8.3;9;7.7 ; 8.8;1.1
16;Germany;8.0;7;7.8 ; 8.4;0.6
17;Japan;7.6;9;7.0 ; 8.1;1.1
18;France;7.4;7;6.7 ; 7.8;1.1
18;Ireland;7.4;7;6.7 ; 7.9;1.2
20;Belgium;7.3;7;6.6 ; 7.9;1.3
20;Chile;7.3;7;6.6 ; 7.6;1.0
20;USA;7.3;8;6.6 ; 7.8;1.2
23;Spain;6.8;7;6.3 ; 7.2;0.9
24;Barbados;6.7;4;6.0 ; 7.2;1.2
24;Estonia;6.7;8;6.1 ; 7.4;1.3
26;Macau;6.6;3;5.4 ; 7.1;1.7
26;Portugal ;6.6;7;5.9 ; 7.3;1.4
28;Malta;6.4;4;5.4 ; 7.3;1.9
28;Slovenia;6.4;8;5.7 ; 7.0;1.3
28;Uruguay;6.4;5;5.9 ; 7.0;1.1
31;United Arab Emirates;6.2;5;5.6 ; 6.9;1.3
32;Bhutan;6.0;3;4.1 ; 7.3;3.2
32;Qatar;6.0;5;5.6 ; 6.5;0.9
34;Israel;5.9;7;5.2 ; 6.5;1.3
34;Taiwan;5.9;9;5.6 ; 6.2;0.6
36;Bahrain;5.7;5;5.3 ; 6.2;0.9
37;Botswana;5.6;6;4.8 ; 6.6;1.8
37;Cyprus;5.6;4;5.2 ; 5.9;0.7
39;Oman;5.4;3;4.1 ; 6.2;2.1
40;Jordan;5.3;7;4.5 ; 5.7;1.2
41;Hungary;5.2;8;5.0 ; 5.4;0.4
42;Mauritius;5.1;5;4.1 ; 6.3;2.2
42;South Korea;5.1;9;4.7 ; 5.5;0.8
44;Malaysia;5.0;9;4.5 ; 5.5;1.0
45;Italy;4.9;7;4.4 ; 5.4;1.0
46;Czech Republic;4.8;8;4.4 ; 5.2;0.8
46 ;Kuwait;4.8;5;4.0 ; 5.4;1.4
46;Lithuania;4.8;6;4.2 ; 5.6;1.4
